# ROM-derived GS1 direct-sound samples.
sample	address	frequency	loop_start	sample_count	source
0	0x080fd048	22579200	645	667	WAVE_00.pcm8.wav
1	0x080fd2f4	22579200	12544	13051	WAVE_01.pcm8.wav
2	0x08100600	22579200	9392	11078	WAVE_02.pcm8.wav
3	0x08103158	22579200		7534	WAVE_03.pcm8.wav
4	0x08104ed8	22579200	1804	1826	WAVE_04.pcm8.wav
5	0x0810560c	22579200		19527	WAVE_05.pcm8.wav
6	0x0810a264	16146432	7820	16831	WAVE_06.pcm8.wav
7	0x0810e434	22579200	5616	16028	WAVE_07.pcm8.wav
8	0x081122e0	22579200	2500	2543	WAVE_08.pcm8.wav
9	0x08112ce0	22579200	7020	13286	WAVE_09.pcm8.wav
10	0x081160d8	22579200	8037	8080	WAVE_10.pcm8.wav
11	0x08118078	22579200	2010	2053	WAVE_11.pcm8.wav
12	0x08118890	22579200	8064	12247	WAVE_12.pcm8.wav
13	0x0811b878	22579200	3625	8767	WAVE_13.pcm8.wav
14	0x0811db38	22579200		4065	WAVE_14.pcm8.wav
15	0x0811eb2c	22579200		7000	WAVE_15.pcm8.wav
16	0x08120694	22579200		10865	WAVE_16.pcm8.wav
17	0x08123118	22579200		2169	WAVE_17.pcm8.wav
18	0x081239a4	45158400		49183	WAVE_18.pcm8.wav
19	0x0812f9d4	22579200	5454	7145	WAVE_19.pcm8.wav
20	0x081315d0	21528576	5306	12407	WAVE_20.pcm8.wav
21	0x08134658	21528576	631	25510	WAVE_21.pcm8.wav
22	0x0813aa10	21528576		32863	WAVE_22.pcm8.wav
23	0x08142a80	21528576	2446	9830	WAVE_23.pcm8.wav
24	0x081450f8	22542336		21166	WAVE_24.pcm8.wav
25	0x0814a3b8	22542336		33187	WAVE_25.pcm8.wav
26	0x0815256c	21528576	0	2181	WAVE_26.pcm8.wav
27	0x08152e04	21528576		10825	WAVE_27.pcm8.wav
28	0x08155860	21528576		3987	WAVE_28.pcm8.wav
29	0x08156804	21528576		2935	WAVE_29.pcm8.wav
30	0x0815738c	21528576	7860	16399	WAVE_30.pcm8.wav
31	0x0815b3ac	10764288	500	18363	WAVE_31.pcm8.wav
